A,disc_1_minus_4A,class_number_1,first_prime_divisor,Q,right_6Np1,left_6Nm1,C_product,C_empirical
1,-3,1,3,243158,243157,0,1.1207,2.2414
3,-11,1,3,110478,0,110478,0.5101,1.0184
5,-19,1,5,204230,68139,136091,0.9422,1.8826
11,-43,1,11,353877,118183,235694,1.6295,3.2620
17,-67,1,17,452824,150904,301920,2.0875,4.1741
41,-163,1,41,720037,239879,480158,3.3201,6.6372
7,-27,0,3,243061,243061,0,1.1207,2.2405
9,-35,0,3,100594,0,100594,0.4640,0.9273
21,-83,0,3,105221,0,105221,0.4850,0.9699
33,-131,0,3,71466,0,71466,0.3298,0.6588
