a,a_mod6,C_product,wing_mask
-3,3,1.3834,right_only
-2,4,1.8499,both_1to2
-1,5,0.0521,left_only
1,1,1.3728,both_1to2
2,2,0.7130,left_only
3,3,1.1207,right_only
4,4,1.3728,both_1to2
5,5,0.5282,left_only
6,0,0.7130,right_only
7,1,1.9730,both_1to2
8,2,0.7130,left_only
9,3,0.9152,right_only
10,4,1.0822,both_1to2
11,5,0.5101,left_only
12,0,1.1207,right_only
13,1,1.2857,both_1to2
14,2,0.4203,left_only
15,3,1.2669,right_only
16,4,1.3728,both_1to2
17,5,0.4917,left_only
18,0,1.4261,right_only
19,1,0.9423,both_1to2
20,2,0.5282,left_only
21,3,0.6754,right_only
22,4,1.7665,both_1to2
23,5,0.8166,left_only
24,0,0.7130,right_only
25,1,1.8303,both_1to2
26,2,0.3734,left_only
27,3,1.1207,right_only
28,4,1.9730,both_1to2
29,5,0.4043,left_only
30,0,0.8696,right_only
31,1,1.2333,both_1to2
32,2,0.7130,left_only
33,3,0.9212,right_only
34,4,0.9575,both_1to2
35,5,0.4639,left_only
36,0,0.9152,right_only
37,1,2.3434,both_1to2
38,2,0.4944,left_only
39,3,0.9504,right_only
40,4,1.0822,both_1to2
41,5,0.3484,left_only
42,0,1.0686,right_only
43,1,1.6295,both_1to2
44,2,0.5101,left_only
45,3,1.0565,right_only
46,4,1.1543,both_1to2
47,5,0.6741,left_only
48,0,1.1207,right_only
